"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/VARIETY NAME/PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT COLL.";"PROV/STATE";"TOWN";"BARANGAY";"SITIO";"";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"LAT";"LONG";"ALTITUDE";"COLLECTING  SOURCE";"GENETIC  STATUS";"SAMPLE  TYPE";"SAMPLING METHOD";"MATERIAL COLLECTED";"TOPOGRAPHY";"SITE";"SOIL TEXTURE";"DRAINAGE";"SOIL COLOR";"STONINESS";"NOTE"
"9320";"";"1934";"";"Z.353 (1991)";"";"IPK-W/R PETERSBURG";"Z. mays L. convar mays var mays ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9322";"";"1935";"";"Z.386 (1986)";"";"IPK-W/R PETERSBURG";"Z. mays L. convar mays var albaflara Korn.";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9324";"";"1936";"";"Z.241 (1944)";"";"IPK-DEUTSCHLAND";"Z. mays L. convar mays";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9328";"";"1938";"";"Z.23 (1982)";"";"IPK-DEUTSCHLAND";"Z. mays L. convar microsperma var glaucornis Alef. ";"";"";"";"";"";"9606";"June 1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"9727";"1";"1";"";"UPCA VAR 1";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9728";"2";"2";"";"UPCA VAR 2";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9729";"4";"3";"";"PHIL DMR 1";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9730";"5";"4";"";"PHIL DMR SYN 2";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9731";"6";"5";"";"PHIL DMR 3";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9732";"7";"6";"";"PHIL DMR 4";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9733";"8";"7";"";"PHIL DMR SYN 5";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9734";"10";"8";"";"COLLEGE COMP. 23";"";"UPLB";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"Yellow";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9735";"12";"9";"";"COLLEGE COMP 85";"";"BPI";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"9736";"13";"10";"";"EG SYN 1";"";"BPI";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"1974";"1974";"";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
