"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/                VARIETY NAME/     PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT          COLL.";"PROV";"TOWN";"BARANGAY";"SITIO";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"ALTITUDE";"COLL SOURCE";"GEN STAT";"SAM TYPE";"SAM MET";"MAT";"TOPO";"SITE";"SOIL TEX";"DRAIN";"SOIL COL";"STON"
"10035";"490";"305";"";"CUBA 80";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10036";"491";"306";"";"CUBA 92";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10039";"494";"309";"";"HAITI 23";"";"CIMMYT";"Z. mays L. ";"HTI";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10040";"496";"310";"";"HAITI 29";"";"CIMMYT";"Z. mays L. ";"HTI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10041";"497";"311";"";"HAITI 36";"";"CIMMYT";"Z. mays L. ";"HTI";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10042";"498";"312";"";"HAITI 38";"";"CIMMYT";"Z. mays L. ";"HTI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10043";"499";"313";"";"JAMAICA 7";"";"CIMMYT";"Z. mays L. ";"JAM";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10044";"500";"314";"";"REPUBLICA DOMINICANA 277";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10045";"501";"315";"";"REPUBLICA DOMINICANA 270";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10046";"502";"316";"";"REPUBLICA DOMINICANA 273";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10047";"503";"317";"";"REPUBLICA DOMINICANA 258";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10048";"504";"318";"";"REPUBLICA DOMINICANA 295";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10049";"505";"319";"";"REPUBLICA DOMINICANA 288";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW/BWN STR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10050";"506";"320";"";"REPUBLICA DOMINICANA 261";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10051";"507";"321";"";"PUERTO RICO 19";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10052";"508";"322";"";"PUERTO RICO 7";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10053";"509";"323";"";"PUERTO RICO 8";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10054";"510";"324";"";"PUERTO RICO 6";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10055";"511";"325";"";"PUERTO RICO 12";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10056";"512";"326";"";"PUERTO RICO 14";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10057";"513";"327";"";"PUERTO RICO 1";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10058";"515";"328";"";"PUERTO RICO 15";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10059";"516";"329";"";"PUERTO RICO 16";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10060";"517";"330";"";"SAINT CROIX 7";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10061";"518";"331";"";"SAINT CROIX 6";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10062";"519";"332";"";"SAINT VINCENT 5";"";"CIMMYT";"Z. mays L. ";"VCT";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10063";"520";"333";"";"SAINT VINCENT 6";"";"CIMMYT";"Z. mays L. ";"VCT";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10064";"521";"334";"";"SAINT VINCENT 7";"";"CIMMYT";"Z. mays L. ";"VCT";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10065";"522";"335";"";"SAINT VINCENT 10";"";"CIMMYT";"Z. mays L. ";"VCT";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10066";"523";"336";"";"SAINT VINCENT 1";"";"CIMMYT";"Z. mays L. ";"VCT";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10067";"524";"337";"";"TOBAGO 2";"";"CIMMYT";"Z. mays L. ";"TTO";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10068";"525";"338";"";"GUADELOUPE 5";"";"CIMMYT";"Z. mays L. ";"GLP";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10069";"526";"339";"";"GUADELOUPE 7";"";"CIMMYT";"Z. mays L. ";"GLP";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10070";"527";"340";"";"GUADELOUPE 9";"";"CIMMYT";"Z. mays L. ";"GLP";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10071";"528";"341";"";"GUADELOUPE 4";"";"CIMMYT";"Z. mays L. ";"GLP";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10072";"529";"342";"";"GUADELOUPE 14";"";"CIMMYT";"Z. mays L. ";"GLP";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10073";"530";"343";"";"ANTIGUA 7";"";"CIMMYT";"Z. mays L. ";"ATG";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10074";"531";"344";"";"BARBADOS 1";"";"CIMMYT";"Z. mays L. ";"BRB";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10075";"532";"345";"";"GRENADA 1";"";"CIMMYT";"Z. mays L. ";"GRD";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10076";"533";"346";"";"GRENADA 4";"";"CIMMYT";"Z. mays L. ";"GRD";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10077";"534";"347";"";"GRENADA 6";"";"CIMMYT";"Z. mays L. ";"GRD";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10078";"535";"348";"";"GRENADA 17";"";"CIMMYT";"Z. mays L. ";"GRD";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10079";"538";"349";"";"TRINIDAD 20";"";"CIMMYT";"Z. mays L. ";"TTO";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10080";"539";"350";"";"TRINIDAD 21";"";"CIMMYT";"Z. mays L. ";"TTO";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10081";"540";"351";"";"TRINIDAD 32";"";"CIMMYT";"Z. mays L. ";"TTO";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10082";"541";"352";"";"TRINIDAD 34";"";"CIMMYT";"Z. mays L. ";"TTO";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10083";"542";"353";"";"COMPUESTO CARIBE PRECOZ";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10084";"544";"354";"";"BRAZIL 2968";"";"CIMMYT";"Z. mays L. ";"BRA";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10085";"547";"355";"";"BRAZIL 448";"";"CIMMYT";"Z. mays L. ";"BRA";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10086";"549";"356";"";"MAGDALENA 447";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW/WHT/   PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10087";"550";"357";"";"MAGDALENA 464";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW/WHT/   PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10088";"551";"358";"";"MAGDALENA 466";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"WHT/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10089";"552";"359";"";"MAGDALENA 469";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW/WHT/   PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10090";"553";"360";"";"CORDOBA 338";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"DYLWBRW  STR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10091";"554";"361";"";"MAGDALENA 408";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10092";"555";"362";"";"CAQUETA 321";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10093";"556";"363";"";"CAQUETA 327";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10094";"557";"364";"";"CAQUETA 320";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10095";"558";"365";"";"VALLE 374";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10096";"560";"366";"";"TALIMA 377";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10097";"561";"367";"";"CORDOBA 320";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10098";"562";"368";"";"BOLIVAR 375";"";"CIMMYT";"Z. mays L. ";"BOL";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10099";"563";"369";"";"ATLANTICO 314";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10100";"564";"370";"";"ATLANTICO 328";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10101";"565";"371";"";"BOLIVAR 316";"";"CIMMYT";"Z. mays L. ";"BOL";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10102";"566";"372";"";"CRISEMILLA #253";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10103";"567";"373";"";"CRISEMILLA #207";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10104";"569";"374";"";"COWR COMP 1";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW/PUR/   WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10105";"571";"375";"";"(SAN VIC. 3D x ANT GPO 2 x . COMP 55)";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10106";"572";"376";"";"(MCBR 3 x PHIL DMR 3)";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10107";"573";"377";"";"PHIL DMR COMP #1";"";"UPLB";"Z. mays L. ";"PHL";"LAG";"LOS BAÑOS";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10108";"574";"378";"";"PHIL DMR COMP #2";"";"UPLB";"Z. mays L. ";"PHL";"LAG";"LOS BAÑOS";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10109";"575";"379";"";"PHIL DMR COMP #3";"";"UPLB";"Z. mays L. ";"PHL";"LAG";"LOS BAÑOS";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10110";"576";"380";"";"PHIL DMR COMP #4";"";"UPLB";"Z. mays L. ";"PHL";"LAG";"LOS BAÑOS";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10111";"577";"381";"";"DOLOGAN POPCORN";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"POP";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10112";"578";"382";"";"SINGAPORE YF";"";"CIMMYT";"Z. mays L. ";"SGP";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10113";"579";"383";"";"TINIGUIB";"";"CIMMYT";"Z. mays L. ";"PHL";"LAG";"LOS BAÑOS";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10114";"584";"384";"";"DIACOL V 103";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10115";"586";"385";"";"DIACOL V 254";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW/WHT/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10116";"587";"386";"";"DIACOL V 206";"";"CIMMYT";"Z. mays L. ";"MEX";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10117";"594";"387";"";"SURINAM 796";"";"CIMMYT";"Z. mays L. ";"SUR";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10118";"601";"388";"";"GUYANA 815";"";"CIMMYT";"Z. mays L. ";"GUY";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10119";"611";"389";"";"CUBA 28";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10120";"613";"390";"";"CUBA 32";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10121";"615";"391";"";"CUBA 50";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10122";"617";"392";"";"CUBA 64";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10124";"619";"394";"";"CUBA 68";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10125";"621";"395";"";"BRITISH VIRGIN ISLANDS 102";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10126";"623";"396";"";"BRITISH VIRGIN ISLANDS 106";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10127";"624";"397";"";"BRITISH VIRGIN ISLANDS 109";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10128";"626";"398";"";"BRITISH VIRGIN ISLANDS 114";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10129";"629";"399";"";"BRITISH VIRGIN ISLANDS 117";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10130";"630";"400";"";"BRITISH VIRGIN ISLANDS 120";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10131";"632";"401";"";"BRITISH VIRGIN ISLANDS 138";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10132";"633";"402";"";"BRITISH VIRGIN ISLANDS 143";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10133";"634";"403";"";"BRITISH VIRGIN ISLANDS 144";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10134";"635";"404";"";"BRITISH VIRGIN ISLANDS 145";"";"CIMMYT";"Z. mays L. ";"VGB";"";"";"";"";"";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10135";"642";"405";"";"BARBADOS 3";"";"CIMMYT";"Z. mays L. ";"BRB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10136";"646";"406";"";"PUERTO RICO 18";"";"CIMMYT";"Z. mays L. ";"PRI";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10137";"647";"407";"";"REPUBLICA DOMINICANA 275";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10138";"648";"408";"";"COSTA RICA GPO 21A";"";"CIMMYT";"Z. mays L. ";"CRI";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10139";"659";"409";"";"ANTIGUA 3";"";"CIMMYT";"Z. mays L. ";"ATG";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10140";"665";"410";"";"BRAZIL 231";"";"CIMMYT";"Z. mays L. ";"BRA";"";"";"";"";"";"YLW/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10141";"674";"411";"";"CUBA 24";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10142";"676";"412";"";"CUBA 37";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10143";"680";"413";"";"CUBA 69";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10145";"684";"415";"";"CUBA 74";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10146";"685";"416";"";"CUBA 83";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10148";"690";"418";"";"CUBA 91";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10149";"691";"419";"";"CUBA 95";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10150";"693";"420";"";"CUBA 114";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10151";"698";"421";"";"CUBA 131";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10152";"700";"422";"";"CUBA 135";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10153";"705";"423";"";"CUBA 150";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10154";"706";"424";"";"CUBA 152";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10156";"710";"426";"";"CUBA 167";"";"CIMMYT";"Z. mays L. ";"CUB";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10157";"715";"427";"";"EL SALVADOR 48";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10159";"719";"429";"";"EL SALVADOR 60";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10160";"722";"430";"";"EL SALVADOR 69";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10161";"724";"431";"";"EL SALVADOR 76";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10162";"725";"432";"";"EL SALVADOR 78";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10163";"726";"433";"";"EL SALVADOR 80";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10164";"729";"434";"";"EL SALVADOR 84";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10165";"730";"435";"";"EL SALVADOR 87";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10166";"731";"436";"";"EL SALVADOR 88";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10167";"732";"437";"";"EL SALVADOR 91";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10168";"733";"438";"";"EL SALVADOR 92";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10169";"734";"439";"";"EL SALVADOR 93";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10170";"735";"440";"";"EL SALVADOR 96";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10171";"736";"441";"";"EL SALVADOR 97";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"HT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10172";"737";"442";"";"EL SALVADOR 101";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10173";"738";"443";"";"EL SALVADOR 102";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10174";"739";"444";"";"EL SALVADOR 103";"";"CIMMYT";"Z. mays L. ";"SLV";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10175";"753";"445";"";"GUADELOUPE 12";"";"CIMMYT";"Z. mays L. ";"GLP";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10176";"755";"446";"";"GUADELOUPE 15";"";"CIMMYT";"Z. mays L. ";"GLP";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10177";"756";"447";"";"GUADELOUPE 16";"";"CIMMYT";"Z. mays L. ";"GLP";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10178";"783";"448";"";"JAMAICA 5";"";"CIMMYT";"Z. mays L. ";"JAM";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10179";"789";"449";"";"REPUBLICA DOMINICANA 38";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10180";"792";"450";"";"REPUBLICA DOMINICANA 150";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW/PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10181";"795";"451";"";"REPUBLICA DOMINICANA 245";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10182";"797";"452";"";"REPUBLICA DOMINICANA 253";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10183";"798";"453";"";"REPUBLICA DOMINICANA 254";"";"CIMMYT";"Z. mays L. ";"DOM";"";"";"";"";"";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10184";"807";"454";"";"HONDURAS 58";"";"CIMMYT";"Z. mays L. ";"HND";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10185";"808";"455";"";"HONDURAS 59";"";"CIMMYT";"Z. mays L. ";"HND";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10186";"809";"456";"";"HONDURAS 60";"";"CIMMYT";"Z. mays L. ";"HND";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10187";"810";"457";"";"HONDURAS 64";"";"CIMMYT";"Z. mays L. ";"HND";"";"";"";"";"";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
